series,baker,first_date_appeared_uk,last_date_appeared_uk,first_date_appeared_us,last_date_appeared_us
1899-12-31,Annetha,2010-08-17,2010-08-24,NA,NA
1899-12-31,David,2010-08-17,2010-09-07,NA,NA
1899-12-31,Edd,2010-08-17,2010-09-21,NA,NA
1899-12-31,Jasminde~,2010-08-17,2010-09-14,NA,NA
1899-12-31,Jonathan,2010-08-17,2010-08-31,NA,NA
1899-12-31,Lea,2010-08-17,2010-08-17,NA,NA
1899-12-31,Louise,2010-08-17,2010-08-24,NA,NA
1899-12-31,Mark,2010-08-17,2010-08-17,NA,NA
1899-12-31,Miranda,2010-08-17,2010-09-21,NA,NA
1899-12-31,Ruth,2010-08-17,2010-09-21,NA,NA
1900-01-01,Ben,2011-08-16,2011-09-06,NA,NA
1900-01-01,Holly,2011-08-16,2011-10-04,NA,NA
1900-01-01,Ian,2011-08-16,2011-08-30,NA,NA
1900-01-01,Janet,2011-08-16,2011-09-27,NA,NA
1900-01-01,Jason,2011-08-16,2011-09-13,NA,NA
1900-01-01,Joanne,2011-08-16,2011-10-04,NA,NA
1900-01-01,Keith,2011-08-16,2011-08-16,NA,NA
1900-01-01,Mary-Ann~,2011-08-16,2011-10-04,NA,NA
1900-01-01,Robert,2011-08-16,2011-09-13,NA,NA
1900-01-01,Simon,2011-08-16,2011-08-23,NA,NA
1900-01-01,Urvashi,2011-08-16,2011-08-30,NA,NA
1900-01-01,Yasmin,2011-08-16,2011-09-20,NA,NA
1900-01-02,Brendan,2012-08-14,2012-10-16,NA,NA
1900-01-02,Cathryn,2012-08-14,2012-10-02,NA,NA
1900-01-02,Danny,2012-08-14,2012-10-09,NA,NA
1900-01-02,James,2012-08-14,2012-10-16,NA,NA
1900-01-02,John,2012-08-14,2012-10-16,NA,NA
1900-01-02,Manisha,2012-08-14,2012-09-11,NA,NA
1900-01-02,Natasha,2012-08-14,2012-08-14,NA,NA
1900-01-02,Peter,2012-08-14,2012-08-21,NA,NA
1900-01-02,Ryan,2012-08-14,2012-09-25,NA,NA
1900-01-02,Sarah-Ja~,2012-08-14,2012-09-25,NA,NA
1900-01-02,Victoria,2012-08-14,2012-08-28,NA,NA
1900-01-02,Stuart,2012-08-14,2012-09-04,NA,NA
1900-01-03,Ali,2013-08-20,2013-09-10,2014-12-28,2015-01-18
1900-01-03,Beca,2013-08-20,2013-10-15,2014-12-28,2015-02-22
1900-01-03,Christin~,2013-08-20,2013-10-08,2014-12-28,2015-02-15
1900-01-03,Deborah,2013-08-20,2013-09-03,2014-12-28,2015-01-11
1900-01-03,Frances,2013-08-20,2013-10-22,2014-12-28,2015-03-01
1900-01-03,Glenn,2013-08-20,2013-10-01,2014-12-28,2015-02-08
1900-01-03,Howard,2013-08-20,2013-09-24,2014-12-28,2015-02-01
1900-01-03,Kimberle~,2013-08-20,2013-10-22,2014-12-28,2015-03-01
1900-01-03,Lucy,2013-08-20,2013-08-27,2014-12-28,2015-01-04
1900-01-03,Mark,2013-08-20,2013-09-03,2014-12-28,2015-01-11
1900-01-03,Robert,2013-08-20,2013-09-17,2014-12-28,2015-01-25
1900-01-03,Ruby,2013-08-20,2013-10-22,2014-12-28,2015-03-01
1900-01-03,Toby,2013-08-20,2013-08-20,2014-12-28,2014-12-28
1900-01-04,Chetna,2014-08-06,2014-10-01,2015-09-06,2015-11-01
1900-01-04,Claire,2014-08-06,2014-08-06,2015-09-06,2015-09-06
1900-01-04,Diana,2014-08-06,2014-09-03,2015-09-06,2015-10-04
1900-01-04,Enwezor,2014-08-06,2014-08-13,2015-09-06,2015-09-13
1900-01-04,Iain,2014-08-06,2014-08-27,2015-09-06,2015-09-27
1900-01-04,Jordan,2014-08-06,2014-08-20,2015-09-06,2015-09-20
1900-01-04,Kate,2014-08-06,2014-09-17,2015-09-06,2015-10-18
1900-01-04,Luis,2014-08-06,2014-10-08,2015-09-06,2015-11-08
1900-01-04,Martha,2014-08-06,2014-09-24,2015-09-06,2015-10-25
1900-01-04,Nancy,2014-08-06,2014-10-08,2015-09-06,2015-11-08
1900-01-04,Norman,2014-08-06,2014-09-03,2015-09-06,2015-10-04
1900-01-04,Richard,2014-08-06,2014-10-08,2015-09-06,2015-11-08
1900-01-05,Alvin,2015-08-05,2015-09-09,2016-07-01,2016-07-22
1900-01-05,Dorret,2015-08-05,2015-08-19,2016-07-01,2016-07-15
1900-01-05,Flora,2015-08-05,2015-09-30,2016-07-01,2016-08-05
1900-01-05,Ian,2015-08-05,2015-10-07,2016-07-01,2016-08-12
1900-01-05,Marie,2015-08-05,2015-08-12,2016-07-01,2016-07-08
1900-01-05,Mat,2015-08-05,2015-09-16,2016-07-01,2016-07-29
1900-01-05,Nadiya,2015-08-05,2015-10-07,2016-07-01,2016-08-12
1900-01-05,Paul,2015-08-05,2015-09-23,2016-07-01,2016-07-29
1900-01-05,Sandy,2015-08-05,2015-08-26,2016-07-01,2016-07-15
1900-01-05,Stu,2015-08-05,2015-08-05,2016-07-01,2016-07-01
1900-01-05,Tamal,2015-08-05,2015-10-07,2016-07-01,2016-08-12
1900-01-05,Ugn\u011~,2015-08-05,2015-09-02,2016-07-01,2016-07-22
1900-01-06,Andrew,2016-08-24,2016-10-26,2017-06-16,2017-08-04
1900-01-06,Benjamin~,2016-08-24,2016-10-12,2017-06-16,2017-07-28
1900-01-06,Candice,2016-08-24,2016-10-26,2017-06-16,2017-08-04
1900-01-06,Jane,2016-08-24,2016-10-26,2017-06-16,2017-08-04
1900-01-06,Kate,2016-08-24,2016-09-14,2017-06-16,2017-06-30
1900-01-06,Lee,2016-08-24,2016-08-24,2017-06-16,2017-06-16
1900-01-06,Louise,2016-08-24,2016-08-31,2017-06-16,2017-06-16
1900-01-06,Michael,2016-08-24,2016-09-07,2017-06-16,2017-06-23
1900-01-06,Rav,2016-08-24,2016-09-28,2017-06-16,2017-07-14
1900-01-06,Selasi,2016-08-24,2016-10-19,2017-06-16,2017-08-04
1900-01-06,Tom,2016-08-24,2016-10-05,2017-06-16,2017-07-21
1900-01-06,Val,2016-08-24,2016-09-21,2017-06-16,2017-07-07
1900-01-07,Chris,2017-08-29,2017-09-05,NA,NA
1900-01-07,Flo,2017-08-29,2017-09-12,NA,NA
1900-01-07,James,2017-08-29,2017-09-26,NA,NA
1900-01-07,Julia,2017-08-29,2017-10-03,NA,NA
1900-01-07,Kate,2017-08-29,2017-10-31,NA,NA
1900-01-07,Liam,2017-08-29,2017-10-17,NA,NA
1900-01-07,Peter,2017-08-29,2017-08-29,NA,NA
1900-01-07,Sophie,2017-08-29,2017-10-31,NA,NA
1900-01-07,Stacey,2017-08-29,2017-10-24,NA,NA
1900-01-07,Steven,2017-08-29,2017-10-31,NA,NA
1900-01-07,Tom,2017-08-29,2017-09-19,NA,NA
1900-01-07,Yan,2017-08-29,2017-10-10,NA,NA
